George Clinton & Parliament Funkadelic (TALLAHASSEE, FL)
Timmy The Teeth (AMERICAN FORK, UT)
Whispertown (LOS ANGELES, CA)
Current Joys (LOS ANGELES, CA)
Orquestra Pacifico Tropical (PORTLAND, OR)
Dante Elephante (LOS ANGELES, CA)
Western Daughter (BOISE, ID)
Porlolo (DENVER, CO)
Planes on Paper (YAKIMA, WA)
XDS (CHICO, CA)
Kuinka (SEATTLE, WA)
Toy Zoo (BOISE, ID)
Uni (NEW YORK, NY)
Overlake (JERSEY CITY, NJ)
Alien Boy (PORTLAND, OR)
Andrew Sheppard (KETCHUM, ID)
Dick Stusso (OAKLAND, CA)
oso negro (ONTARIO, OR)
bell's roar (ALBANY, NY)
Pregnant (SACRAMENTO, CA)
C.J. Boyd (N/A)
Tocaio (LOS ANGELES, CA)
Sunbathe (PORTLAND, OR)
the Raven and the Writing Desk (DENVER, CO)
And And And (PORTLAND, OR)
Nelly Kate (CHARLOTTE, NC)
Wildermiss (DENVER, CO)
Tispur (BOISE, ID)
Robin Bacior (PORTLAND, OR)
Leafraker (NAMPA, ID)
Sun Valley Gun Club (SACRAMENTO, CA)
The Not-Its! (SEATTLE, WA)
Brooke Would (BOISE, ID)
Kelli Schaefer (PORTLAND, OR)
Super Sparkle (SPOKANE, WA)
Up is the Down is the (BOISE, ID)
Soul Refuge (BOISE, ID)
máscaras (PORTLAND, OR)
SURFS DRUGS (EUGENE, OR)
Tag Along Friend (BOISE, ID)
Belinda Bowler (BOISE, ID)
ELDREN (DENVER, CO)
The Hoot Hoots (SEATTLE, WA)
Serpentfoot (FORT COLLINS, CO)
Rubedo (DENVER, CO)
Ealdor Bealu (BOISE, ID)
Groggy Bikini (BOISE, ID)
Crona Clone (BOISE, ID)
The Kinky Fingers (DENVER, CO)
King and Queen of the Losers (BOISE, ID)
Skinny The Kid (MOSCOW, ID)
Ancient Elk (DENVER, CO)
Melacrusin (BOISE, ID)
The Vang Basics (BOISE, ID)
Dear Rabbit (COLORADO SPRINGS, CO)
Endorphins lost (SEATTLE, WA)
Smokey Brights (SEATTLE, WA)
Random Canyon Growlers (BOISE, ID)
Whippoorwill (ENCAMPMENT, WY)
Childspeak (EUGENE, OR)
Another Man Out The Window (SAN FRANCISCO, CA)
Edison (DENVER, CO)
Jordan Thornquest (TWIN FALLS, ID)
Caitlin James (NASHVILLE, TN)
Midwife (DENVER, CO)
Hummingbird Of Death (BOISE, ID)
Sammy Brue (OGDEN, UT)
Easter Island (ATHENS, GA)
George Washing Machine (SAN FRANCISCO, CA)
The Brankas (SAN FRANCISCO, CA)
Gentle Spirit (SAN FRANCISCO, CA)
TAMBALKA (BOISE, ID)
Old Death Whisper (WOOD RIVER VALLEY, ID)
Madisun Proof (BOISE, ID)
The Love Bunch (BOISE, ID)
People with Bodies (RENO, NV)
Cassiopeia (SAN FRANCISCO, CA)
ALLEYS (BOISE, ID)
Laika The Dog (BOISE, ID)
Gold Casio (PORTLAND, OR)
Idyltime (BOISE, IDAHO)
Pure Ivy (BOISE, ID)
Hallowed Oak (MOSCOW, ID)
Juice! (BOISE, ID)
déCollage (DENVER, CO)
queen boychild (BOISE, ID)
Buff Mervyn (BOISE, ID)
Yardsss ∅∀‡ (PORTLAND, OR)
Zack Quintana Band (BOISE, ID)
The Frim Fram Four (BOISE, ID)
Kulululu (PORTLAND, OR)
Red Hands Black Feet (BOISE, ID)
The Dirty Moogs (BOISE, ID)
Sego (PROVO, UT / LOS ANGELES, CA)
Ardalan (SAN FRANCISCO, CA)
Dana Buoy (PORTLAND, OR)
Slow Corpse (ASHLAND, OR)
Adam Jones (BOISE, ID)
Lonesome Leash (LOS ANGELES, CA)
ACID TONGUE (BROOKLYN, NY)
St. Terrible (and the Gospel of Nothingness ∆) (BOISE, ID)
SFM - Steve Fulton Music (BOISE, ID)
Dodgy Mountain Men (MISSOULA, MT)
Tylor & the Train Robbers (BOISE, ID)
Little Junior (TORONTO, CANADA)
Danny Blaqk and the Galaxy (BOISE, ID)
Traitors Gate (BOISE, ID)
Immortal Bird (CHICAGO, IL)
La Louma (LOS ANGELES, CA)
eLDopamine (BOISE, ID)
Kid Dakota (MINNEAPOLIS, MN)
Dreamend (SAVANNAH, GA)
Infernal Coil (BOISE, ID)
jo passed (VANCOUVER CANADA)
ROCCI JOHNSON BAND (BOISE, ID)
Mojo Green (RENO, NV)
Moaning (LOS ANGELES, CA)
Sick Wish (BOISE, ID)
Holiday Friends (ASTORIA, OR)
Heatwarmer (SEATTLE, WA)
Transistor Send (BOISE, ID)
Other Desires (CLARKSTON, WA)
Junior Rocket Scientist (BOISE, ID)
New Move (PORTLAND, OR)
Bart Budwig's Amperband (ENTERPRISE, OR)
Curtis/Sutton & The Scavengers (BOISE, ID)
The Hand (BOISE)
BLACKCLOUD (BOISE, ID)
Swim Camp (PHILADELPHIA, PA)
Jupiter Holiday (BOISE, ID)
Bamboozle (ASHLAND, OR)
The Green Zoo (BOISE, ID)
Teenage Candy (BOISE, ID)
208 ensemble (BOISE, ID)
Methods of Dance (BOISE, ID)
Esseks (BROOKLYN, NY)
Deeveaux (BOISE, ID)
Styles in Black (BOISE, ID)
PUEBLO (BOISE, ID)
Kadeejah Streets (SEATTLE, WA)
WOH Club (BOISE, ID)
Grayson County Burn Ban (DENVER, CO)
Birch Pereira & the Gin Joints (SEATTLE, WA)
Hokum Hi-Flyers (BOISE, ID)
Taylor Kingman (PORTLAND, OR)
Eleanor Murray (OLYMPIA, WA)
Ryan Oxford (PORTLAND, OR)
Neighbor Lady (ATLANTA, GA)
a.k.a. Belle (BOISE, ID)
Sheep Bridge Jumpers (KETCHUM, ID)
Rory Van James (SEATTLE, WA)
Parade Of Bad Guys (BOISE, ID)
Shimi Tree Flamenco (BOISE, ID)
Denim Casket (BOISE, ID)
The Pleasure Routine (OAKLAND, CA)
Nouveauxfaux (PORTLAND, OR)
Shakewell (MISSOULA, MT)
Monster Planet (SEATTLE WA)
raener (LOS ANGELES, CA)
DMVU (LAKEWOOD, CO)
Bad Licks (DENVER, CO)
Gipsy Moonrise (BOISE, ID)
Grizzly Goat (PROVO, UT)
Bread & Circus (BOISE, ID)
Benyaro (JACKSON, WY)
Trevor Green (HAILEY, ID)
Naan Violence (ATLANTA, GA)
Hot Pursuit (POCATELLO, ID)
Throes (BOISE, ID)
Swarm Beating (BOISE, ID)
Bodie (BOISE, ID)
Failure Machine (RENO, NV)
ALASTAIR (SAN FRANCISCO, CA)
Lux Groove (HARTFORD, CT)
2cg (BOISE, ID)
Axiom Tha Wyze (BOISE, ID)
ZERO (BOISE, ID)
Killer Whale (SAN FRANCISCO, CA)
Black Bolt (BOISE, ID)
CMMNWLTH (BOISE, ID)
Brackets (SEATTLE, WA)
Wicked Bears (SALT LAKE CITY, UT)
Faustina Masigat (PORTLAND, OR)
Big Ups (BOISE, ID)
Tino Drima (SAN FRANCISCO, CA)
Electric Coconut (BOISE, ID)
Sea's Apprentice (BOISE,ID)
Preakedness (BOISE, ID)
Honyock (SACRAMENTO, CA)
Frankie Simone (PORTLAND, OR)
Cam Callahan & Campaign Revival (BOISE, ID)
Donald Bumps (BOISE, ID)
Jonn E Combat (BOISE, ID)
EvoluShawn (BOISE, ID)
The Lonely Children (SEATTLE, WA)
The Max Beefwater Band (BOISE, ID)
Whereling (BOISE, ID)
SHUCKING FIT (BOISE, ID)
Luke Messimer (BOISE, ID)
Mother Yeti (PULLMAN, WA)
E&J aka Eleven & Jason D (BOISE, ID)
Soul Catalyst (LOS ANGELES, CA)
Les Fortunate (BOISE, ID)
Love-Lace (BOISE, ID)
The French Tips (BOISE, ID)
Space Car (BOISE, ID)
Firesigns (BOISE, ID)
Tyto Alba (DENVER, CO)
Simber (BOISE, ID)
Effy K (BOISE, ID)
Something Spicy (BOISE, ID)
Katherine Carole (aka KC Nova) (BOISE, ID)
ALARMs (BOISE, ID)
Psych Sirens (BOISE, ID)
NIIX (BEND, OR)
ohbrando (BOISE, ID)
REFLEKTION (BOISE, ID)
Stormshadow (BOISE, ID)
Hear The Taste (BOISE, ID)
Urban Outfielders (BOISE, ID)
Ponderay (BOISE, ID)
Dirt Russell (BOISE, ID)
Spiritual Warfare and the Greasy Shadows (MERIDAN, ID)
WEND (BOISE, ID)
The Astrophobes (BOISE, ID)
Rejection Pact (BOISE, ID)
Ana Lete (BOISE, ID)
Alec Lytle & Them Rounders (SANTA CRUZ MOUNTAINS, CA)
MAITA (PORTLAND, OR)
Hand Trembler (BOISE, ID)
Catskills (LA GRANDE, OR)
The Seatopians (BOISE, ID)
The Weary Times (BOISE, ID)
Far From Giants (BOISE, ID)
The Guardians of Virginity (BOISE, ID)
Kathleen Williams (BOISE, ID)
Black Kaweah (BOISE, ID)
The Lady & The Boy (BOISE, ID)
Wild Spells (BOISE, ID)
Dave Stringer (LOS ANGELES, CA)
Jetski (BOISE, ID)
Nude Oil (BOISE, ID)
Astro Tan (PORTLAND, OR)
Kyle Emerson (DENVER, CO)
The Pan Handles (BOISE, ID)
ACUDETH (BOISE, ID)
Cloudest Speaker (KETCHUM, ID)
DADWAVE (BOISE, ID)
Mr. Grant Olsen (BOISE, IDAHO)
Cactus Coy (BOISE, ID)
Tora'dan (BOISE, ID)
LadyTramp (BOISE, ID)
Kissee (PORTLAND, OR)
Clinton Herrick and Heather Meuleman (PORTLAND, OR)
Night Fighter (BOISE, ID)
Dan Had It (BOISE, ID)
Bullets Are The Cure (IDAHO CITY, ID)
Paul Kenny and the lone wolves (LOS ANGELES, CA)
Deviant Kin (BOISE, ID)
Soul Ipsum (PORTLAND, OR)
Dj Kneix (BOISE, ID)
Henry Canyons (LOS ANGELES, CA)
Jonathan Warren & The Billy Goats (BOISE, ID)
Imaginary Tricks (NEW YORK, NY)
Red Light Challenge (BOISE, ID)
MT. EDDY (OAKLAND, CA)
The Sun and the Mirror (BOISE, ID)
Golder Strange (BOISE, ID)
Luci Kolada (BOISE, ID)
Great Bait (BOISE, ID)
Dedicated Servers (BOISE, ID)
The Trees The Trees (BOISE, ID)
Mellisan (BOISE, ID)
Fall Creek String Band (BOISE, ID)
The Mutineers (PORTLAND, OR)
Hybrid Sheep Organizer (BOISE, ID)
Whippin Shitties (BOISE,ID)
Tim Andreae (BOISE, ID)
